id,continent,area,timeZone
662,Africa,"Abidjan, Africa",Africa/Abidjan
663,Africa,"Algiers, Africa",Africa/Algiers
664,Africa,"Bissau, Africa",Africa/Bissau
665,Africa,"Cairo, Africa",Africa/Cairo
666,Africa,"Casablanca, Africa",Africa/Casablanca
667,Africa,"Ceuta, Africa",Africa/Ceuta
668,Africa,"El Aaiun, Africa",Africa/El_Aaiun
669,Africa,"Johannesburg, Africa",Africa/Johannesburg
670,Africa,"Juba, Africa",Africa/Juba
671,Africa,"Khartoum, Africa",Africa/Khartoum
672,Africa,"Lagos, Africa",Africa/Lagos
673,Africa,"Maputo, Africa",Africa/Maputo
674,Africa,"Monrovia, Africa",Africa/Monrovia
675,Africa,"Nairobi, Africa",Africa/Nairobi
676,Africa,"Ndjamena, Africa",Africa/Ndjamena
677,Africa,"Sao Tome, Africa",Africa/Sao_Tome
678,Africa,"Tripoli, Africa",Africa/Tripoli
679,Africa,"Tunis, Africa",Africa/Tunis
680,Africa,"Windhoek, Africa",Africa/Windhoek
681,America,"Adak, America",America/Adak
682,America,"Anchorage, America",America/Anchorage
683,America,"Araguaina, America",America/Araguaina
684,America,"Buenos Aires, Argentina, America",America/Argentina/Buenos_Aires
685,America,"Catamarca, Argentina, America",America/Argentina/Catamarca
686,America,"Cordoba, Argentina, America",America/Argentina/Cordoba
687,America,"Jujuy, Argentina, America",America/Argentina/Jujuy
688,America,"La Rioja, Argentina, America",America/Argentina/La_Rioja
689,America,"Mendoza, Argentina, America",America/Argentina/Mendoza
690,America,"Rio Gallegos, Argentina, America",America/Argentina/Rio_Gallegos
691,America,"Salta, Argentina, America",America/Argentina/Salta
692,America,"San Juan, Argentina, America",America/Argentina/San_Juan
693,America,"San Luis, Argentina, America",America/Argentina/San_Luis
694,America,"Tucuman, Argentina, America",America/Argentina/Tucuman
695,America,"Ushuaia, Argentina, America",America/Argentina/Ushuaia
696,America,"Asuncion, America",America/Asuncion
697,America,"Bahia, America",America/Bahia
698,America,"Bahia Banderas, America",America/Bahia_Banderas
699,America,"Barbados, America",America/Barbados
700,America,"Belem, America",America/Belem
701,America,"Belize, America",America/Belize
702,America,"Boa Vista, America",America/Boa_Vista
703,America,"Bogota, America",America/Bogota
704,America,"Boise, America",America/Boise
705,America,"Cambridge Bay, America",America/Cambridge_Bay
706,America,"Campo Grande, America",America/Campo_Grande
707,America,"Cancun, America",America/Cancun
708,America,"Caracas, America",America/Caracas
709,America,"Cayenne, America",America/Cayenne
710,America,"Chicago, America",America/Chicago
711,America,"Chihuahua, America",America/Chihuahua
712,America,"Ciudad Juarez, America",America/Ciudad_Juarez
713,America,"Costa Rica, America",America/Costa_Rica
714,America,"Cuiaba, America",America/Cuiaba
715,America,"Danmarkshavn, America",America/Danmarkshavn
716,America,"Dawson, America",America/Dawson
717,America,"Dawson Creek, America",America/Dawson_Creek
718,America,"Denver, America",America/Denver
719,America,"Detroit, America",America/Detroit
720,America,"Edmonton, America",America/Edmonton
721,America,"Eirunepe, America",America/Eirunepe
722,America,"El Salvador, America",America/El_Salvador
723,America,"Fort Nelson, America",America/Fort_Nelson
724,America,"Fortaleza, America",America/Fortaleza
725,America,"Glace Bay, America",America/Glace_Bay
726,America,"Goose Bay, America",America/Goose_Bay
727,America,"Grand Turk, America",America/Grand_Turk
728,America,"Guatemala, America",America/Guatemala
729,America,"Guayaquil, America",America/Guayaquil
730,America,"Guyana, America",America/Guyana
731,America,"Halifax, America",America/Halifax
732,America,"Havana, America",America/Havana
733,America,"Hermosillo, America",America/Hermosillo
734,America,"Indianapolis, Indiana, America",America/Indiana/Indianapolis
735,America,"Knox, Indiana, America",America/Indiana/Knox
736,America,"Marengo, Indiana, America",America/Indiana/Marengo
737,America,"Petersburg, Indiana, America",America/Indiana/Petersburg
738,America,"Tell City, Indiana, America",America/Indiana/Tell_City
739,America,"Vevay, Indiana, America",America/Indiana/Vevay
740,America,"Vincennes, Indiana, America",America/Indiana/Vincennes
741,America,"Winamac, Indiana, America",America/Indiana/Winamac
742,America,"Inuvik, America",America/Inuvik
743,America,"Iqaluit, America",America/Iqaluit
744,America,"Jamaica, America",America/Jamaica
745,America,"Juneau, America",America/Juneau
746,America,"Louisville, Kentucky, America",America/Kentucky/Louisville
747,America,"Monticello, Kentucky, America",America/Kentucky/Monticello
748,America,"La Paz, America",America/La_Paz
749,America,"Lima, America",America/Lima
750,America,"Los Angeles, America",America/Los_Angeles
751,America,"Maceio, America",America/Maceio
752,America,"Managua, America",America/Managua
753,America,"Manaus, America",America/Manaus
754,America,"Martinique, America",America/Martinique
755,America,"Matamoros, America",America/Matamoros
756,America,"Mazatlan, America",America/Mazatlan
757,America,"Menominee, America",America/Menominee
758,America,"Merida, America",America/Merida
759,America,"Metlakatla, America",America/Metlakatla
760,America,"Mexico City, America",America/Mexico_City
761,America,"Miquelon, America",America/Miquelon
762,America,"Moncton, America",America/Moncton
763,America,"Monterrey, America",America/Monterrey
764,America,"Montevideo, America",America/Montevideo
765,America,"New York, America",America/New_York
766,America,"Nome, America",America/Nome
767,America,"Noronha, America",America/Noronha
768,America,"Beulah, North Dakota, America",America/North_Dakota/Beulah
769,America,"Center, North Dakota, America",America/North_Dakota/Center
770,America,"New Salem, North Dakota, America",America/North_Dakota/New_Salem
771,America,"Nuuk, America",America/Nuuk
772,America,"Ojinaga, America",America/Ojinaga
773,America,"Panama, America",America/Panama
774,America,"Paramaribo, America",America/Paramaribo
775,America,"Phoenix, America",America/Phoenix
776,America,"Port-au-Prince, America",America/Port-au-Prince
777,America,"Porto Velho, America",America/Porto_Velho
778,America,"Puerto Rico, America",America/Puerto_Rico
779,America,"Punta Arenas, America",America/Punta_Arenas
780,America,"Rankin Inlet, America",America/Rankin_Inlet
781,America,"Recife, America",America/Recife
782,America,"Regina, America",America/Regina
783,America,"Resolute, America",America/Resolute
784,America,"Rio Branco, America",America/Rio_Branco
785,America,"Santarem, America",America/Santarem
786,America,"Santiago, America",America/Santiago
787,America,"Santo Domingo, America",America/Santo_Domingo
788,America,"Sao Paulo, America",America/Sao_Paulo
789,America,"Scoresbysund, America",America/Scoresbysund
790,America,"Sitka, America",America/Sitka
791,America,"St Johns, America",America/St_Johns
792,America,"Swift Current, America",America/Swift_Current
793,America,"Tegucigalpa, America",America/Tegucigalpa
794,America,"Thule, America",America/Thule
795,America,"Tijuana, America",America/Tijuana
796,America,"Toronto, America",America/Toronto
797,America,"Vancouver, America",America/Vancouver
798,America,"Whitehorse, America",America/Whitehorse
799,America,"Winnipeg, America",America/Winnipeg
800,America,"Yakutat, America",America/Yakutat
801,Antarctica,"Casey, Antarctica",Antarctica/Casey
802,Antarctica,"Davis, Antarctica",Antarctica/Davis
803,Antarctica,"Macquarie, Antarctica",Antarctica/Macquarie
804,Antarctica,"Mawson, Antarctica",Antarctica/Mawson
805,Antarctica,"Palmer, Antarctica",Antarctica/Palmer
806,Antarctica,"Rothera, Antarctica",Antarctica/Rothera
807,Antarctica,"Troll, Antarctica",Antarctica/Troll
808,Asia,"Almaty, Asia",Asia/Almaty
809,Asia,"Amman, Asia",Asia/Amman
810,Asia,"Anadyr, Asia",Asia/Anadyr
811,Asia,"Aqtau, Asia",Asia/Aqtau
812,Asia,"Aqtobe, Asia",Asia/Aqtobe
813,Asia,"Ashgabat, Asia",Asia/Ashgabat
814,Asia,"Atyrau, Asia",Asia/Atyrau
815,Asia,"Baghdad, Asia",Asia/Baghdad
816,Asia,"Baku, Asia",Asia/Baku
817,Asia,"Bangkok, Asia",Asia/Bangkok
818,Asia,"Barnaul, Asia",Asia/Barnaul
819,Asia,"Beirut, Asia",Asia/Beirut
820,Asia,"Bishkek, Asia",Asia/Bishkek
821,Asia,"Chita, Asia",Asia/Chita
822,Asia,"Choibalsan, Asia",Asia/Choibalsan
823,Asia,"Colombo, Asia",Asia/Colombo
824,Asia,"Damascus, Asia",Asia/Damascus
825,Asia,"Dhaka, Asia",Asia/Dhaka
826,Asia,"Dili, Asia",Asia/Dili
827,Asia,"Dubai, Asia",Asia/Dubai
828,Asia,"Dushanbe, Asia",Asia/Dushanbe
829,Asia,"Famagusta, Asia",Asia/Famagusta
830,Asia,"Gaza, Asia",Asia/Gaza
831,Asia,"Hebron, Asia",Asia/Hebron
832,Asia,"Ho Chi Minh, Asia",Asia/Ho_Chi_Minh
833,Asia,"Hong Kong, Asia",Asia/Hong_Kong
834,Asia,"Hovd, Asia",Asia/Hovd
835,Asia,"Irkutsk, Asia",Asia/Irkutsk
836,Asia,"Jakarta, Asia",Asia/Jakarta
837,Asia,"Jayapura, Asia",Asia/Jayapura
838,Asia,"Jerusalem, Asia",Asia/Jerusalem
839,Asia,"Kabul, Asia",Asia/Kabul
840,Asia,"Kamchatka, Asia",Asia/Kamchatka
841,Asia,"Karachi, Asia",Asia/Karachi
842,Asia,"Kathmandu, Asia",Asia/Kathmandu
843,Asia,"Khandyga, Asia",Asia/Khandyga
844,Asia,"Kolkata, Asia",Asia/Kolkata
845,Asia,"Krasnoyarsk, Asia",Asia/Krasnoyarsk
846,Asia,"Kuching, Asia",Asia/Kuching
847,Asia,"Macau, Asia",Asia/Macau
848,Asia,"Magadan, Asia",Asia/Magadan
849,Asia,"Makassar, Asia",Asia/Makassar
850,Asia,"Manila, Asia",Asia/Manila
851,Asia,"Nicosia, Asia",Asia/Nicosia
852,Asia,"Novokuznetsk, Asia",Asia/Novokuznetsk
853,Asia,"Novosibirsk, Asia",Asia/Novosibirsk
854,Asia,"Omsk, Asia",Asia/Omsk
855,Asia,"Oral, Asia",Asia/Oral
856,Asia,"Pontianak, Asia",Asia/Pontianak
857,Asia,"Pyongyang, Asia",Asia/Pyongyang
858,Asia,"Qatar, Asia",Asia/Qatar
859,Asia,"Qostanay, Asia",Asia/Qostanay
860,Asia,"Qyzylorda, Asia",Asia/Qyzylorda
861,Asia,"Riyadh, Asia",Asia/Riyadh
862,Asia,"Sakhalin, Asia",Asia/Sakhalin
863,Asia,"Samarkand, Asia",Asia/Samarkand
864,Asia,"Seoul, Asia",Asia/Seoul
865,Asia,"Shanghai, Asia",Asia/Shanghai
866,Asia,"Singapore, Asia",Asia/Singapore
867,Asia,"Srednekolymsk, Asia",Asia/Srednekolymsk
868,Asia,"Taipei, Asia",Asia/Taipei
869,Asia,"Tashkent, Asia",Asia/Tashkent
870,Asia,"Tbilisi, Asia",Asia/Tbilisi
871,Asia,"Tehran, Asia",Asia/Tehran
872,Asia,"Thimphu, Asia",Asia/Thimphu
873,Asia,"Tokyo, Asia",Asia/Tokyo
874,Asia,"Tomsk, Asia",Asia/Tomsk
875,Asia,"Ulaanbaatar, Asia",Asia/Ulaanbaatar
876,Asia,"Urumqi, Asia",Asia/Urumqi
877,Asia,"Ust-Nera, Asia",Asia/Ust-Nera
878,Asia,"Vladivostok, Asia",Asia/Vladivostok
879,Asia,"Yakutsk, Asia",Asia/Yakutsk
880,Asia,"Yangon, Asia",Asia/Yangon
881,Asia,"Yekaterinburg, Asia",Asia/Yekaterinburg
882,Asia,"Yerevan, Asia",Asia/Yerevan
883,Atlantic,"Azores, Atlantic",Atlantic/Azores
884,Atlantic,"Bermuda, Atlantic",Atlantic/Bermuda
885,Atlantic,"Canary, Atlantic",Atlantic/Canary
886,Atlantic,"Cape Verde, Atlantic",Atlantic/Cape_Verde
887,Atlantic,"Faroe, Atlantic",Atlantic/Faroe
888,Atlantic,"Madeira, Atlantic",Atlantic/Madeira
889,Atlantic,"South Georgia, Atlantic",Atlantic/South_Georgia
890,Atlantic,"Stanley, Atlantic",Atlantic/Stanley
891,Australia,"Adelaide, Australia",Australia/Adelaide
892,Australia,"Brisbane, Australia",Australia/Brisbane
893,Australia,"Broken Hill, Australia",Australia/Broken_Hill
894,Australia,"Darwin, Australia",Australia/Darwin
895,Australia,"Eucla, Australia",Australia/Eucla
896,Australia,"Hobart, Australia",Australia/Hobart
897,Australia,"Lindeman, Australia",Australia/Lindeman
898,Australia,"Lord Howe, Australia",Australia/Lord_Howe
899,Australia,"Melbourne, Australia",Australia/Melbourne
900,Australia,"Perth, Australia",Australia/Perth
901,Australia,"Sydney, Australia",Australia/Sydney
902,NULL,CET,CET
903,NULL,CST6CDT,CST6CDT
904,NULL,EET,EET
905,NULL,EST,EST
906,NULL,EST5EDT,EST5EDT
907,NULL,Etc/GMT,Etc/GMT
908,NULL,Etc/GMT+1,Etc/GMT+1
909,NULL,Etc/GMT+10,Etc/GMT+10
910,NULL,Etc/GMT+11,Etc/GMT+11
911,NULL,Etc/GMT+12,Etc/GMT+12
912,NULL,Etc/GMT+2,Etc/GMT+2
913,NULL,Etc/GMT+3,Etc/GMT+3
914,NULL,Etc/GMT+4,Etc/GMT+4
915,NULL,Etc/GMT+5,Etc/GMT+5
916,NULL,Etc/GMT+6,Etc/GMT+6
917,NULL,Etc/GMT+7,Etc/GMT+7
918,NULL,Etc/GMT+8,Etc/GMT+8
919,NULL,Etc/GMT+9,Etc/GMT+9
920,NULL,Etc/GMT-1,Etc/GMT-1
921,NULL,Etc/GMT-10,Etc/GMT-10
922,NULL,Etc/GMT-11,Etc/GMT-11
923,NULL,Etc/GMT-12,Etc/GMT-12
924,NULL,Etc/GMT-13,Etc/GMT-13
925,NULL,Etc/GMT-14,Etc/GMT-14
926,NULL,Etc/GMT-2,Etc/GMT-2
927,NULL,Etc/GMT-3,Etc/GMT-3
928,NULL,Etc/GMT-4,Etc/GMT-4
929,NULL,Etc/GMT-5,Etc/GMT-5
930,NULL,Etc/GMT-6,Etc/GMT-6
931,NULL,Etc/GMT-7,Etc/GMT-7
932,NULL,Etc/GMT-8,Etc/GMT-8
933,NULL,Etc/GMT-9,Etc/GMT-9
934,NULL,Etc/UTC,Etc/UTC
935,Europe,"Andorra, Europe",Europe/Andorra
936,Europe,"Astrakhan, Europe",Europe/Astrakhan
937,Europe,"Athens, Europe",Europe/Athens
938,Europe,"Belgrade, Europe",Europe/Belgrade
939,Europe,"Berlin, Europe",Europe/Berlin
940,Europe,"Brussels, Europe",Europe/Brussels
941,Europe,"Bucharest, Europe",Europe/Bucharest
942,Europe,"Budapest, Europe",Europe/Budapest
943,Europe,"Chisinau, Europe",Europe/Chisinau
944,Europe,"Dublin, Europe",Europe/Dublin
945,Europe,"Gibraltar, Europe",Europe/Gibraltar
946,Europe,"Helsinki, Europe",Europe/Helsinki
947,Europe,"Istanbul, Europe",Europe/Istanbul
948,Europe,"Kaliningrad, Europe",Europe/Kaliningrad
949,Europe,"Kirov, Europe",Europe/Kirov
950,Europe,"Kyiv, Europe",Europe/Kyiv
951,Europe,"Lisbon, Europe",Europe/Lisbon
952,Europe,"London, Europe",Europe/London
953,Europe,"Madrid, Europe",Europe/Madrid
954,Europe,"Malta, Europe",Europe/Malta
955,Europe,"Minsk, Europe",Europe/Minsk
956,Europe,"Moscow, Europe",Europe/Moscow
957,Europe,"Paris, Europe",Europe/Paris
958,Europe,"Prague, Europe",Europe/Prague
959,Europe,"Riga, Europe",Europe/Riga
960,Europe,"Rome, Europe",Europe/Rome
961,Europe,"Samara, Europe",Europe/Samara
962,Europe,"Saratov, Europe",Europe/Saratov
963,Europe,"Simferopol, Europe",Europe/Simferopol
964,Europe,"Sofia, Europe",Europe/Sofia
965,Europe,"Tallinn, Europe",Europe/Tallinn
966,Europe,"Tirane, Europe",Europe/Tirane
967,Europe,"Ulyanovsk, Europe",Europe/Ulyanovsk
968,Europe,"Vienna, Europe",Europe/Vienna
969,Europe,"Vilnius, Europe",Europe/Vilnius
970,Europe,"Volgograd, Europe",Europe/Volgograd
971,Europe,"Warsaw, Europe",Europe/Warsaw
972,Europe,"Zurich, Europe",Europe/Zurich
973,NULL,HST,HST
974,Indian,"Chagos, Indian",Indian/Chagos
975,Indian,"Maldives, Indian",Indian/Maldives
976,Indian,"Mauritius, Indian",Indian/Mauritius
977,NULL,MET,MET
978,NULL,MST,MST
979,NULL,MST7MDT,MST7MDT
980,NULL,PST8PDT,PST8PDT
981,Pacific,"Apia, Pacific",Pacific/Apia
982,Pacific,"Auckland, Pacific",Pacific/Auckland
983,Pacific,"Bougainville, Pacific",Pacific/Bougainville
984,Pacific,"Chatham, Pacific",Pacific/Chatham
985,Pacific,"Easter, Pacific",Pacific/Easter
986,Pacific,"Efate, Pacific",Pacific/Efate
987,Pacific,"Fakaofo, Pacific",Pacific/Fakaofo
988,Pacific,"Fiji, Pacific",Pacific/Fiji
989,Pacific,"Galapagos, Pacific",Pacific/Galapagos
990,Pacific,"Gambier, Pacific",Pacific/Gambier
991,Pacific,"Guadalcanal, Pacific",Pacific/Guadalcanal
992,Pacific,"Guam, Pacific",Pacific/Guam
993,Pacific,"Honolulu, Pacific",Pacific/Honolulu
994,Pacific,"Kanton, Pacific",Pacific/Kanton
995,Pacific,"Kiritimati, Pacific",Pacific/Kiritimati
996,Pacific,"Kosrae, Pacific",Pacific/Kosrae
997,Pacific,"Kwajalein, Pacific",Pacific/Kwajalein
998,Pacific,"Marquesas, Pacific",Pacific/Marquesas
999,Pacific,"Nauru, Pacific",Pacific/Nauru
1000,Pacific,"Niue, Pacific",Pacific/Niue
1001,Pacific,"Norfolk, Pacific",Pacific/Norfolk
1002,Pacific,"Noumea, Pacific",Pacific/Noumea
1003,Pacific,"Pago Pago, Pacific",Pacific/Pago_Pago
1004,Pacific,"Palau, Pacific",Pacific/Palau
1005,Pacific,"Pitcairn, Pacific",Pacific/Pitcairn
1006,Pacific,"Port Moresby, Pacific",Pacific/Port_Moresby
1007,Pacific,"Rarotonga, Pacific",Pacific/Rarotonga
1008,Pacific,"Tahiti, Pacific",Pacific/Tahiti
1009,Pacific,"Tarawa, Pacific",Pacific/Tarawa
1010,Pacific,"Tongatapu, Pacific",Pacific/Tongatapu
1011,NULL,WET,WET
